feature,mean_abs_shap
cat__model_Mazdaspeed MX-5 Miata,0.0
cat__model_Equator,0.0
cat__model_Outlander,0.0
cat__model_E-350,0.0
cat__model_Outlook,0.0
cat__model_E-250,0.0
cat__model_Continental Supersports,0.0
cat__model_Cooper Coupe,0.0
cat__model_Cooper Roadster,0.0
cat__make_ford truck,0.0
cat__model_R-Class,0.0
cat__model_Corsica,0.0
cat__make_ford tk,0.0
cat__model_Cougar,0.0
cat__model_Coupe,0.0
cat__model_Cube,0.0
cat__model_Cutlass,0.0
cat__model_Q45,0.0
cat__model_Protege5,0.0
cat__model_Protege,0.0
cat__model_Cutlass Supreme,0.0
cat__model_DTS,0.0
cat__make_dot,0.0
cat__model_Discovery,0.0
cat__model_Passport,0.0
cat__model_Discovery Series II,0.0
cat__make_dodge tk,0.0
cat__model_E-150,0.0
cat__model_Pacifica,0.0
cat__model_Mariner Hybrid,0.0
cat__model_Malibu Hybrid,0.0
cat__model_ZDX,0.0
cat__model_G35,0.0
cat__model_L300,0.0
cat__model_Kizashi,0.0
cat__model_Freelander,0.0
cat__make_acura,0.0
cat__model_Jimmy,0.0
cat__model_Jetta Hybrid,0.0
cat__model_Freestar,0.0
cat__model_Freestyle,0.0
cat__model_Impala Limited,0.0
cat__model_G3,0.0
cat__model_IS 300,0.0
cat__model_HS 250h,0.0
cat__model_Malibu Classic,0.0
cat__model_G5,0.0
cat__model_H2 SUT,0.0
cat__model_GLA-Class,0.0
cat__model_H1,0.0
cat__model_GLI,0.0
cat__model_Grand Marquis,0.0
cat__model_Grand Cherokee SRT,0.0
cat__model_GS 300,0.0
cat__model_Golf GTI,0.0
cat__model_GS 460,0.0
cat__make_audi,0.0
cat__model_LHS,0.0
cat__model_LR2,0.0
cat__model_LS,0.0
cat__model_LS 430,0.0
cat__model_Escort,0.0
cat__model_Esteem,0.0
cat__model_MPV,0.0
cat__model_ML55 AMG,0.0
cat__model_MKZ Hybrid,0.0
cat__model_Excursion,0.0
cat__make_chevrolet,0.0
cat__make_cadillac,0.0
cat__model_M56,0.0
cat__model_F-150 Heritage,0.0
cat__model_F-150 SVT Lightning,0.0
cat__model_M37,0.0
cat__model_FR-S,0.0
cat__model_Lumina,0.0
cat__model_FX35,0.0
cat__model_Legend,0.0
cat__model_Lancer Sportback,0.0
cat__model_Firebird,0.0
cat__model_Fit,0.0
cat__model_LX 470,0.0
cat__model_LX 450,0.0
cat__model_LS 600h L,0.0
cat__model_Fleetwood,0.0
cat__model_Continental GT Speed,0.0
cat__model_RS 4,0.0
cat__model_RS 6,0.0
cat__model_TSX Sport Wagon,0.0
cat__make_Mazda,0.0
cat__model_Amanti,0.0
cat__model_Amigo,0.0
cat__model_Ascender,0.0
cat__model_Aspen,0.0
cat__model_Tiburon,0.0
cat__model_Terraza,0.0
cat__model_Taurus X,0.0
cat__model_Aspire,0.0
cat__model_Tahoe Hybrid,0.0
cat__model_Astra,0.0
cat__model_TLX,0.0
cat__model_Continental,0.0
cat__model_T100,0.0
cat__model_Sunfire,0.0
cat__model_Aura Hybrid,0.0
cat__model_Spyder,0.0
cat__model_Aurora,0.0
cat__model_Spirit,0.0
cat__model_Spark EV,0.0
cat__model_Soul,0.0
cat__model_Aztek,0.0
cat__model_B-Series,0.0
cat__model_B-Series Pickup,0.0
cat__model_Tribute Hybrid,0.0
cat__model_Truck,0.0
cat__model_ActiveHybrid 5,0.0
cat__model_Uplander,0.0
cat__model_Z4 M,0.0
cat__model_420-Class,0.0
cat__model_4Runner,0.0
cat__model_XK-Series,0.0
cat__model_500,0.0
cat__model_500-Class,0.0
cat__model_XG300,0.0
cat__model_500L,0.0
cat__model_XC,0.0
cat__model_6,0.0
cat__model_750i,0.0
cat__model_9-2X,0.0
cat__model_Windstar Cargo,0.0
cat__model_Windstar,0.0
cat__model_Volt,0.0
cat__model_Vitara,0.0
cat__model_Villager,0.0
cat__model_940,0.0
cat__model_960,0.0
cat__model_A5,0.0
cat__model_Achieva,0.0
cat__model_V50,0.0
cat__model_V40,0.0
cat__model_Sky,0.0
cat__model_Silverado 3500 Classic,0.0
cat__model_Silverado 2500,0.0
cat__model_CX-7,0.0
cat__model_S2000,0.0
cat__model_Cabrio,0.0
cat__model_S-Series,0.0
cat__model_S-10 Blazer,0.0
cat__model_S-10,0.0
cat__model_Routan,0.0
cat__model_Rondo,0.0
cat__model_Rodeo Sport,0.0
cat__model_Roadmaster,0.0
cat__model_Camry Solara,0.0
cat__model_Caprice,0.0
cat__model_Caravan,0.0
cat__model_Catera,0.0
cat__model_Celica,0.0
cat__make_gmc truck,0.0
cat__model_Cirrus,0.0
cat__model_Civic del Sol,0.0
cat__model_Ram Cargo,0.0
cat__model_Rainier,0.0
cat__model_Rabbit,0.0
cat__model_RX-8,0.0
cat__model_Classic,0.0
cat__model_RX 300,0.0
cat__model_S40,0.0
cat__model_S6,0.0
cat__model_Silverado 1500HD,0.0
cat__model_CTS-V Wagon,0.0
cat__model_Silverado 1500 Hybrid,0.0
cat__model_Silverado 1500 Classic,0.0
cat__model_Sierra 2500HD Classic,0.0
cat__model_Sierra 1500HD,0.0
cat__model_Sierra 1500 Hybrid,0.0
cat__model_Blackwood,0.0
cat__model_Sidekick,0.0
cat__model_Bravada,0.0
cat__model_Breeze,0.0
cat__model_C-Max Energi,0.0
cat__make_Plymouth,0.0
cat__model_Safari Cargo,0.0
cat__model_Safari,0.0
cat__model_C/K 2500 Series,0.0
cat__model_SX4,0.0
cat__model_C/K 3500 Series,0.0
cat__model_SSR,0.0
cat__model_C/V Tradesman,0.0
cat__model_CTS Wagon,0.0
cat__model_SC 400,0.0
cat__model_SC 300,0.0
cat__model_S90,0.0
cat__model_S80,0.0
cat__make_kia,0.0
